R_Name,hierarchy
SA-BA 2-2008 Par4(1)(a)(i)(B),4.1.1.9.2
SA-BA 2-2008 Par4(1)(a)(i)(A),4.1.1.9.1
SA-BA 2-2008 Par2(1)(c),2.1.3
SA-BA 2-2008 Par2(1)(b)(ii),2.1.2.34
SA-BA 2-2008 Par2(1)(b)(i),2.1.2.9
SA-BA 2-2008 Par2(1)(a)(ii),2.1.1.34
SA-BA 2-2008 Par2(1)(a)(i),2.1.1.9
SA-BA 2-2008 Par2(1)(a)(xi),2.1.1.11
SA-BA 2-2008 Par2(1)(a)(x),2.1.1.24
SA-MSA CMSC50-2019 Par4(4)(10),4.4.10
SA-MSA CMSC50-2019 Par4(4)(9),4.4.9
SA-MSA CMSC50-2019 Par4(4)(8),4.4.8
SA-INFADA 23-2014 Sec12(10),12.1
SA-INFADA 23-2014 Sec10(h),10.8
SA-MSA CMSC50-2019 Par4(4)(7),4.4.7
SA-MSA CMSC50-2019 Par4(4)(6),4.4.6
SA-MSA CMSC50-2019 Par4(4)(5),4.4.5
SA-MSA CMSC50-2019 Par4(4)(4),4.4.4
SA-MSA CMSC50-2019 Par4(4)(3),4.4.3
SA-MSA CMSC50-2019 Par4(4)(2),4.4.2
SA-INFADA 23-2014 Sec8(1)(b),8.1.2
SA-INFADA 23-2014 Sec8(1)(a),8.1.1
SA-MSA CMSC50-2019 Par4(4)(1),4.4.1
SA-STIA JC1-2018 Par4,4
SA-STIA JC1-2018 Par4(c),4.3.4.3
SA-STIA JC1-2018 Par4(b),4.2.4.2
SA-STIA JC1-2018 Par4(a),4.1.4.1
SA-STIA JC1-2018 Par3,3.3.3
SA-LIQA2003 59-2003 Sec40(6),40.6
SA-STIA JC1-2018 Par2,2.2.2
SA-STIA JC1-2018 Par1,1.1
SA-TBCA 975-2000 Par10,10.1
SA-TBCA 975-2000 Par9,9.9
SA-TBCA 975-2000 Par8,8.8
SA-TBCA 975-2000 Par7(b),7.2.7.2
SA-TBCA 975-2000 Par7(a),7.1.7.1
SA-TBCA 975-2000 Par6,6.6
SA-TBCA 975-2000 Par3(e),3.5.3.5
SA-TBCA 975-2000 Par3(d),3.4.3.4
SA-TBCA 975-2000 Par3(c),3.3.3.3
SA-TBCA 975-2000 Par3(b),3.2.3.2
